Page Popularity/likes,Page Checkins,Page talking about,Page Category,CC1,CC2,CC3,CC4,CC5,Base time,Post length,Post Share Count,Post Promotion Status,H Local,PostSun,PostMon,PostTue,PostWed,PostThu,PostFri,PostSat,BaseSun,BaseMon,BaseTue,BaseWed,BasedThu,BaseFri,BaseSat,Target Variable
634995,0,463,1,0,0,0,0,0,25,166,2,0,24,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
634995,0,463,1,0,0,0,0,0,70,132,1,0,24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
634995,0,463,1,0,0,0,0,0,26,133,2,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
634995,0,463,1,7,0,0,7,0,67,131,1,0,24,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
634995,0,463,1,1,0,0,1,0,65,142,5,0,24,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
634995,0,463,1,0,0,0,0,0,22,166,1,0,24,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
634995,0,463,1,0,0,0,0,0,5,145,2,0,24,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
634995,0,463,1,0,0,0,0,0,2,157,2,0,24,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
634995,0,463,1,0,0,0,0,0,38,177,5,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
634995,0,463,1,0,0,0,0,0,15,126,1,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
634995,0,463,1,0,0,0,0,0,5,188,1,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
634995,0,463,1,1,0,0,1,0,66,172,4,0,24,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
634995,0,463,1,3,0,0,3,0,70,157,4,0,24,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
634995,0,463,1,1,0,0,1,0,69,126,1,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
634995,0,463,1,0,0,0,0,0,14,103,1,0,24,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
634995,0,463,1,3,3,0,3,3,11,158,4,0,24,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
634995,0,463,1,3,3,0,2,3,35,151,2,0,24,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
634995,0,463,1,0,0,0,0,0,46,133,1,0,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
634995,0,463,1,1,1,0,1,1,14,137,2,0,24,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
634995,0,463,1,0,0,0,0,0,67,106,2,0,24,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
634995,0,463,1,0,0,0,0,0,10,149,1,0,24,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
634995,0,463,1,65,65,0,65,65,20,135,19,0,24,0,1,0,0,0,0,0,0,0,1,0,0,0,0,16
634995,0,463,1,5,5,0,5,5,5,64,1,0,24,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
634995,0,463,1,0,0,0,0,0,28,111,4,0,24,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
634995,0,463,1,0,0,0,0,0,48,156,1,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
634995,0,463,1,0,0,0,0,0,17,199,1,0,24,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
634995,0,463,1,6,2,4,6,-2,35,300,2,0,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
634995,0,463,1,21,21,0,21,21,8,96,1,0,24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7
634995,0,463,1,2,2,0,2,2,4,67,1,0,24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
634995,0,463,1,2,0,2,2,-2,41,0,1,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
634995,0,463,1,2,0,2,2,-2,25,168,1,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
634995,0,463,1,15,2,13,15,-11,46,84,2,0,24,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
634995,0,463,1,2,0,0,2,0,66,116,4,0,24,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
634995,0,463,1,0,0,0,0,0,68,64,2,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
634995,0,463,1,2,0,2,2,-2,42,133,4,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
634995,0,463,1,0,0,0,0,0,35,186,3,0,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
634995,0,463,1,0,0,0,0,0,53,205,1,0,24,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
634995,0,463,1,0,0,0,0,0,69,210,28,0,24,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
634995,0,463,1,10,2,8,8,-6,35,114,13,0,24,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
634995,0,463,1,1,0,1,1,-1,42,142,5,0,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
634995,0,463,1,2,2,0,2,2,12,123,17,0,24,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
634995,0,463,1,1,1,0,0,1,34,68,2,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
634995,0,463,1,0,0,0,0,0,9,133,3,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
634995,0,463,1,17,17,0,17,17,14,100,1,0,24,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
634995,0,463,1,0,0,0,0,0,6,104,2,0,24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
634995,0,463,1,0,0,0,0,0,46,110,1,0,24,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
634995,0,463,1,28,28,0,28,28,20,101,14,0,24,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9
634995,0,463,1,0,0,0,0,0,65,121,1,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
634995,0,463,1,3,0,1,3,-1,51,144,1,0,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
634995,0,463,1,0,0,0,0,0,52,168,2,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
634995,0,463,1,2,2,0,2,2,12,143,1,0,24,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
634995,0,463,1,5,0,5,5,-5,41,91,13,0,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
634995,0,463,1,1,1,0,0,1,31,52,7,0,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
634995,0,463,1,1,1,0,1,1,12,202,30,0,24,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4
634995,0,463,1,0,0,0,0,0,22,83,3,0,24,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
634995,0,463,1,0,0,0,0,0,39,94,1,0,24,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
634995,0,463,1,0,0,0,0,0,23,72,1,0,24,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
634995,0,463,1,2,0,0,2,0,71,132,3,0,24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
634995,0,463,1,0,0,0,0,0,6,196,4,0,24,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
634995,0,463,1,2,0,2,2,-2,36,63,4,0,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
634995,0,463,1,0,0,0,0,0,2,115,2,0,24,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
634995,0,463,1,72,2,6,65,-4,71,197,37,0,24,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
634995,0,463,1,0,0,0,0,0,0,211,12,0,24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
634995,0,463,1,9,9,0,9,9,1,116,3,0,24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8
634995,0,463,1,1,0,1,1,-1,52,199,2,0,24,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
634995,0,463,1,1,1,0,1,1,8,65,2,0,24,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
634995,0,463,1,0,0,0,0,0,2,68,15,0,24,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4
634995,0,463,1,2,2,0,2,2,1,129,12,0,24,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
634995,0,463,1,0,0,0,0,0,31,174,1,0,24,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
634995,0,463,1,1,0,1,1,-1,55,211,1,0,24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
634995,0,463,1,1,1,0,1,1,16,98,2,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
634995,0,463,1,1,1,0,1,1,10,165,2,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
634995,0,463,1,1,0,1,1,-1,63,215,2,0,24,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
634995,0,463,1,6,0,6,0,-6,65,226,23,0,24,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
634995,0,463,1,0,0,0,0,0,40,203,2,0,24,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
